0	1	2	0
1	2	10	2
2	5	4	0
3	5	4	0
4	1	2	2
5	1	9	2
6	1	9	2
7	1	9	0
8	1	9	0
9	1	2	0
10	1	9	0
11	1	9	2
12	1	9	0
13	1	2	0
14	1	2	2
15	1	2	2
16	1	9	2
17	29	21	0
18	63	64	0
19	1	2	0
20	5	13	0
21	6	14	2
22	6	14	0
23	6	14	2
24	10	11	2
25	10	11	0
26	10	11	0
27	18	19	0
28	18	19	2
29	22	30	2
30	22	30	2
31	22	30	0
32	22	30	0
33	22	30	2
34	22	30	0
35	20	28	2
36	20	28	0
37	20	28	2
38	20	28	0
39	20	28	0
40	1	2	0
41	2	10	2
42	5	4	0
43	5	4	0
44	1	2	2
45	1	9	2
46	1	9	2
47	1	9	0
48	1	9	0
49	1	2	0
50	1	9	0
51	1	9	2
52	1	9	0
53	1	2	0
54	1	2	2
55	1	2	2
56	1	9	2
57	29	21	0
58	63	64	0
59	1	2	0
60	5	13	0
61	6	14	2
62	6	14	0
63	6	14	2
64	10	11	2
65	10	11	0
66	10	11	0
67	18	19	0
68	18	19	2
69	22	30	2
70	22	30	2
71	22	30	0
72	22	30	0
73	22	30	2
74	22	30	0
75	20	28	2
76	20	28	0
77	20	28	2
78	20	28	0
79	20	28	0
80	63	64	0
81	63	64	0
82	63	64	0
83	63	64	0
84	63	64	0
85	63	64	0
86	22	30	2
87	22	30	2
88	22	30	0
89	22	30	0
90	22	30	2
91	22	30	0
92	20	28	2
93	20	28	0
94	20	28	2
95	20	28	0
96	20	28	0
97	1	2	0
98	2	10	2
99	5	4	0
100	5	4	0
101	3	4	0
102	3	4	2
103	3	4	0
104	3	4	2
105	11	12	0
106	11	12	2	
107	11	12	0
