0	1	2	0
1	2	10	2
2	5	4	0
3	5	4	0
4	1	2	2
5	1	9	2
6	1	9	2
7	1	9	0
8	1	9	0
9	1	2	0
10	1	9	0
11	1	9	2
12	1	9	0
13	1	2	0
14	1	2	2
15	1	2	2
16	1	9	2
17	29	21	0
18	63	64	0
19	1	2	0
20	5	13	0
21	6	14	2
22	6	14	0
23	6	14	2
24	10	11	2
25	10	11	0
26	10	11	0
27	18	19	0
28	18	19	2
29	22	30	2
30	22	30	2
31	22	30	0
32	22	30	0
33	22	30	2
34	22	30	0
35	20	28	2
36	20	28	0
37	20	28	2
38	20	28	0
39	20	28	0
40	1	2	0
41	2	10	2
42	5	4	0
43	5	4	0
44	1	2	2
45	1	9	2
46	1	9	2
47	1	9	0
48	1	9	0
49	1	2	0
50	1	9	0
51	1	9	2
52	1	9	0
53	1	2	0
54	1	2	2
55	1	2	2
56	1	9	2
57	29	21	0
58	63	64	0
59	1	2	0
60	5	13	0
61	6	14	2
62	6	14	0
63	6	14	2
64	10	11	2
65	10	11	0
66	10	11	0
67	18	19	0
68	18	19	2
69	22	30	2
70	22	30	2
71	22	30	0
72	22	30	0
73	22	30	2
74	22	30	0
75	20	28	2
76	20	28	0
77	20	28	2
78	20	28	0
79	20	28	0
80	63	64	0
81	63	64	0
82	63	64	0
83	63	64	0
84	63	64	0
85	63	64	0
86	22	30	2
87	22	30	2
88	22	30	0
89	22	30	0
90	22	30	2
91	22	30	0
92	20	28	2
93	20	28	0
94	20	28	2
95	20	28	0
96	20	28	0
97	1	2	0
98	2	10	2
99	5	4	0
100	5	4	0
101	3	4	0
102	3	4	2
103	3	4	0
104	3	4	2
105	11	12	0
106	11	12	2	
107	11	12	0
108	12	20	2	
109	12	20	0
110	12	20	0
111	12	20	2
112	12	13	2
113	12	13	0
114	13	5	0
115	13	14	0
116	13	14	2
117	14	22	0
118	14	22	2
118	14	22	2
119	14	15	0
120	14	15	0
121	14	15	0
122	14	15	0
123	15	7	0
124	15	7	0
125	15	16	2
126	16	8	2
127	16	8	2
128	17	25	0
129	17	25	0
130	18	17	2
131	18	17	0
132	18	26	2
133	18	26	2
134	18	26	2
135	19	11	0
136	19	11	0
137	19	11	2
138	19	18	0
139	19	18	0
140	19	18	0
141	19	18	0
142	23	22	2
143	23	22	0
144	29	21	0
145	29	21	0
146	29	21	0
147	29	21	0
148	29	21	2
149	30	38	2
150	30	31	2
151	30	31	2
152	33	25	0
153	33	25	2
154	37	36	0
155	37	36	0
156	39	31	0
157	39	38	2
158	46	47	2
159	46	47	2
160	40	48	2
161	40	48	0
162	45	37	0
163	45	37	2
164	46	47	0
165	46	47	2
166	50	49	0
167	50	49	2
168	50	49	0
169	52	60	2
170	52	60	2
171	52	60	0
172	53	45	0
173	53	52	0
174	53	52	2
175	56	48	2
176	56	48	2
177	56	55	0
178	56	64	2
179	56	64	2
180	57	49	0
181	57	49	2
182	57	49	2
183	57	58	0
184	59	58	2
185	59	58	0
186	59	58	0
187	59	58	0
188	59	60	0
189	60	59	0
190	60	59	2
191	60	61	0
192	61	60	2
193	61	60	2
194	61	60	0
195	61	53	0
196	61	62	2
197	61	62	2
198	61	62	2
199	61	62	0
200	62	61	0
201	63	55	0
202	63	55	0
203	63	62	2
204	63	62	2
205	64	63	2	
